Q,A
이거랑 똑같은거 아닐까요?,봉평 잣막걸리 무한리필 쿠폰? 뭔소리야? 이게 내 문제랑 뭔상관인데.
봉평 잣막걸리 무한리필 쿠폰? 뭔소리야? 이게 내 문제랑 뭔상관인데.,"전무님. 영애씨가 전무님 너무 오랫동안 짝사랑해온 탓에 무조건 참고 퍼주니까 그런 사랑이 이 무한리필쿠폰처럼 영원할거라고 생각하셨던거 아니에요? 그래서 영애씨 맘편하게 대했던거 아니냐구요. 근데 모든건 끝이 있답니다. 이 쿠폰처럼. 보세요. 쓸수 있는 날짜가 어제까지였더라구요. 아주 좋은날 우리 여봉봉이랑 가서 먹을려고 아껴 뒀던건데. 그러니까 있을 때 잘하시라구요. 저처럼 아끼다 똥만들지 말고. 영애씨니까 그나마 이정도 버텼지, 저같았음 벌써 헤어졌어요. "
아니. 이렇게 개를 함부로 막 풀어놓고 다니면 어떡해요? 신발에 오줌 싼 거 안보여요?,어우 죄송해요. 이런 적이 한번도 없었는데. 이걸 어떻게 보상해야될지..
어우 죄송해요. 이런 적이 한번도 없었는데. 이걸 어떻게 보상해야될지..,보상요? 저기요. 이 구두 얼마나 비싼건지 알아요? 루이삐 라고는 들어는 보셨어요? 한정판이어서 이거 다시 구할 수도 없는거거든요?
보상요? 저기요. 이 구두 얼마나 비싼건지 알아요? 루이삐 라고는 들어는 보셨어요? 한정판이어서 이거 다시 구할 수도 없는거거든요?,이거 한정 아닌데? 어제 백화점 매장에서도 봤는데? 그리고 밑창이 빨간색인데 채도가 좀 낮네. 라벨도 다르고 아. 이게 그 짝퉁이라는거라구나. 이런거 어디서 사요? 애들한테도 보여줘야지. 대박사건.
이거 한정 아닌데? 어제 백화점 매장에서도 봤는데? 그리고 밑창이 빨간색인데 채도가 좀 낮네. 라벨도 다르고 아. 이게 그 짝퉁이라는거라구나. 이런거 어디서 사요? 애들한테도 보여줘야지. 대박사건.,어머? 뭐하는거에요. 아 진짜.
어머? 뭐하는거에요. 아 진짜.,우리 바라씨가 쉬 싼건 맞으니까. 받으세요.
우리 바라씨가 쉬 싼건 맞으니까. 받으세요.,아 정말 어이가 없어.
아 정말 어이가 없어.,저기 잠깐만 영상도 못찍었는데. 잠깐만요.
야 뭐하냐?,구두굽이 껴서
구두굽이 껴서,야 비켜봐
야 비켜봐,아 안된다니까
아 안된다니까,돼 돼 다 돼!
하여간 무식하게 힘만 세갔고는,도와주지 말걸 그랬냐
도와주지 말걸 그랬냐,그건 아니고
그건 아니고,이승준씨는 괜찮냐?
이승준씨는 괜찮냐?,"골절이 아니라서 내일 퇴원할 수 있대, 참 어제는 미안하다. 가게는 난장판 만들고. 우리엄마까지와서 별꼴 다보이고"
"골절이 아니라서 내일 퇴원할 수 있대, 참 어제는 미안하다. 가게는 난장판 만들고. 우리엄마까지와서 별꼴 다보이고",그러게 뭐하러 비밀로해서 일만 더 키워
그러게 뭐하러 비밀로해서 일만 더 키워,나 간다
아 저기요!,네 왜요?
네 왜요?,혹시 아까 그 간장게장 레시피 좀 알 수 있을까요? 저도 한번 해볼까하는데
혹시 아까 그 간장게장 레시피 좀 알 수 있을까요? 저도 한번 해볼까하는데,"네, 메모해둔거 있는데 전송해드릴게요. 번호 알려주세요"
"네, 메모해둔거 있는데 전송해드릴게요. 번호 알려주세요",제가 찍어드릴게요.
지금 우리 삼촌이랑 뭐한거에요?,삼촌이 연락하라고 전화번호를 가르쳐주시네?
삼촌이 연락하라고 전화번호를 가르쳐주시네?,"네? 말도 안돼. 진짜네? 누나, 안돼요. 우리 삼촌 꼬시지마요"
"네? 말도 안돼. 진짜네? 누나, 안돼요. 우리 삼촌 꼬시지마요","왜 눈 삔 남자들이나 나 좋아할거라며, 뭐가 걱정이야"
"왜 눈 삔 남자들이나 나 좋아할거라며, 뭐가 걱정이야","그건 그렇긴 한데, 그만하고, 그 번호도 당장 지워요"
"그건 그렇긴 한데, 그만하고, 그 번호도 당장 지워요",싫은데? 계속 꼬실건데?
싫은데? 계속 꼬실건데?,아우 저 누나 또라이
어제부터 오늘까지 미안했다. 신세진거는 꼭 갚을게.,"됐고, 앞으론 괴로운 일 있다고 술 마시지 마라."
"됐고, 앞으론 괴로운 일 있다고 술 마시지 마라.","그래. 취해서 트럭에 올라타질 않나, 뜬금없이 울질 않나, 진상중에 상 진상이었네, 나."
"그래. 취해서 트럭에 올라타질 않나, 뜬금없이 울질 않나, 진상중에 상 진상이었네, 나.","너, 진상 아냐. 힘들때 망가지는게 왜 진상이야 정상이지. 들어가 쉬어라."
지금까지 둘이 같이 있었던거야?,네
네,그게 끝이야? 더 할 말 없어?
그게 끝이야? 더 할 말 없어?,더 할 말 뭐요? 전 없는데요.
더 할 말 뭐요? 전 없는데요.,"그냥 하는 말 아니었구나. 진짜였네, 끝내자는 말."
"이따가 제가, 지금이야라고 하면 잽싸게 드시면 돼요. 1초만 늦어도 고기의 환상적인 맛이 나지 않거든요.",1초는 무슨. 고기 굽는게 거기서 거기지.
1초는 무슨. 고기 굽는게 거기서 거기지.,뭐요? 거기서 거기? 고기는 스스로 먹힐때를 적한다는 말이 있지. 그건 바로 고기가 땀을 흘릴때. 잘 익은 고기는 성난 복서처럼 달려들어 입에 넣는 순간 폭포처럼 쏟아지는 육즙에 짠. 코끝을 스치는 불맛에 훅. 그리고 감칠맛나는 어퍼컷에 미각은 케이오패를 당하고 마는거지.
뭐요? 거기서 거기? 고기는 스스로 먹힐때를 적한다는 말이 있지. 그건 바로 고기가 땀을 흘릴때. 잘 익은 고기는 성난 복서처럼 달려들어 입에 넣는 순간 폭포처럼 쏟아지는 육즙에 짠. 코끝을 스치는 불맛에 훅. 그리고 감칠맛나는 어퍼컷에 미각은 케이오패를 당하고 마는거지.,갑자기 무슨 소리 하는 거래요?
갑자기 무슨 소리 하는 거래요?,일단 한번 먹어보라는 얘기예요. 어때요? 맛있죠? 진이야 지금이야. 먹자.
"야, 가서 걸레 좀 갖고 와.","그 부엌에 술빵 남은 거 있더라. 그것도 좀... 야, 우유도!"
"그 부엌에 술빵 남은 거 있더라. 그것도 좀... 야, 우유도!","니가 갖다 먹어, 새끼야. 택이 간만에 집에 왔는데, 이씨."
"아, 못 들었어! 못 들었어! 진짜.","아, 왜 나한테 지랄이야!"
"아, 왜 나한테 지랄이야!","아, 몰라! 너 때문이야."
나 너 인간적으로 좋아해. 앞으로도 전처럼 그렇게 지내면 안돼? 나 너랑 이런 관계 깨고 싶지 않아. 무슨 말인지 알지?,전 싫은데요. 전 누나랑 이런 관계 싫어요. 저한테 아무 의미 없어요.
다 했으 크리스 마스 근데 뭔가 허전하지? 어 삼촌 이거 맞아? ,맞네 크 리 스 마 스 
맞네 크 리 스 마 스 ,누나! 우리 크리스마스 장식 했어요 이것도 다 제가 붙였는데 잘했죠?
누나! 우리 크리스마스 장식 했어요 이것도 다 제가 붙였는데 잘했죠?,아닌데? 티가 빠졌는데?
아닌데? 티가 빠졌는데?,네? 티가 빠졌어요?
네? 티가 빠졌어요?,아니 그 티 말고 에스랑 엠 사이에 티가 빠졌다고 
넌 괜찮냐? 엄마 생각안나?,난 너보다 오래됬잖아 그래서 너보다는 쉬운가보지
난 너보다 오래됬잖아 그래서 너보다는 쉬운가보지,난 너보다 어린가보다 
난 너보다 어린가보다 ,몰랐냐?
몰랐냐?,아이 자존심상해 야 내가 너보다 생일 빠른거알지? 앞으로 형이라고 불러
아이 자존심상해 야 내가 너보다 생일 빠른거알지? 앞으로 형이라고 불러,미친놈 내가 너보다 정신연령 높아
미친놈 내가 너보다 정신연령 높아,왠열 웃기시네
왠열 웃기시네,왠열
왠열,와 너 요새 진짜 못된 말 많이 배웠다
선우야 밖에 비 온다. 아이엠 레이닝.,잇츠 레이닝.
야. 택아. 그거 우리 형이 일주일째 갖고있던거야. 너 해보고 나한테 알려줘. 형한테 그대로 알려주게,응.
너 아직도 안갔냐?,"어, 늦잠 잤어. 가자. 야 , 안춥냐? 한 겨울에 뭐 하는 짓이냐?"
"어, 늦잠 잤어. 가자. 야 , 안춥냐? 한 겨울에 뭐 하는 짓이냐?",오늘 방학식 끝나고 애들이랑 압구정 가기로 약속했어. 이정도는 입어 줘야지.
오늘 방학식 끝나고 애들이랑 압구정 가기로 약속했어. 이정도는 입어 줘야지.,무릎에 바람들면 어쩔라 그래. 야 그리고 오늘 같은 날 강남가면 밟혀 죽어. 웬만하면 집에 계시지요?
무릎에 바람들면 어쩔라 그래. 야 그리고 오늘 같은 날 강남가면 밟혀 죽어. 웬만하면 집에 계시지요?,"남이사 강남을 가든 강북을 가든, 신경 끄시지요?"
"남이사 강남을 가든 강북을 가든, 신경 끄시지요?","아니 뭐, 그냥, 어? 밤에 애들이랑 해가지고 택이 방에서 비디오나 보든가. "
"아니 뭐, 그냥, 어? 밤에 애들이랑 해가지고 택이 방에서 비디오나 보든가. ",안돼. 만옥이랑 조현이랑 약속했어.
안돼. 만옥이랑 조현이랑 약속했어.,"어, 안녕? 아직 안갔네?"
"어, 안녕? 아직 안갔네?",재수없어.
"아이 근데, 이 실장 정말 복스럽게 잘 먹는것 같지 않아요?","네. 아이 무슨, 다 늙은 여자가 저렇게 먹는건 복스러운게 아니라 거북스러운거죠."
"네. 아이 무슨, 다 늙은 여자가 저렇게 먹는건 복스러운게 아니라 거북스러운거죠.",그러니까요. 이실장 진짜 왜저런데? 아우~
괜찮냐?,조금... 택아 넌 대체 없는 약이 뭐냐? 뭐뭐 있어?
조금... 택아 넌 대체 없는 약이 뭐냐? 뭐뭐 있어?,"두통약, 수면제, 수면유도제, 감기약, 몸살약, 소화제 등등... 많아. 괜찮아 요샌 많이 줄였어."
아빠 오셨다,아버지 오셨어요
아버지 오셨어요,아버지 오셨어요
맞아 맞아 맞아 해야지,밥그릇 치운다
밥그릇 치운다,당신 있을 때 잘해 나는 뽕이야
밥먹자,잘먹겠습니다
잘먹겠습니다,잘먹겠습니다
방에서 자 난 여기서 자면 돼,됐어 내가 쇼파에서 잘게 너 방에서 자 제대로 잠도 못잤으면서 
됐어 내가 쇼파에서 잘게 너 방에서 자 제대로 잠도 못잤으면서 ,너 쇼파에서 자는데 내가 어떻게 잠이 오냐 난 약먹으면 여기나 방이나 어짜피 똑같애
