Q,A
아이고 아이고 참말로. 아니 오늘 오후까지 주기로 했는디 밥 먹을 시간이 어딨당가? 일 끝내고 먹드라고. ,아 너무 하시는 거 아니에요? 저도 애로사항이 많다고요. 
아 너무 하시는 거 아니에요? 저도 애로사항이 많다고요. ,이 여자가 미쳤는가? 아니 아무리 야한 걸 좋아해도 그렇지. 훤한 대낮에 국밥집에서 에로사랑이 뭐여 에로사랑이!
이 여자가 미쳤는가? 아니 아무리 야한 걸 좋아해도 그렇지. 훤한 대낮에 국밥집에서 에로사랑이 뭐여 에로사랑이!,에로사랑이 아니라 애로사항이요. 어려운 점이 많다는 뜻이에요. 피곤하고 배고픈데 음식 냄새까지 맡으니깐 참기 힘들다고요.
에로사랑이 아니라 애로사항이요. 어려운 점이 많다는 뜻이에요. 피곤하고 배고픈데 음식 냄새까지 맡으니깐 참기 힘들다고요.,아 글면 뱃가죽이 등가죽에 달라 붙어갖고 밤 냄새 참기 힘들다 하면 되지. 뭔 말을 그렇게 어렵게 혀. 아 긍께 애시당초 저 캐릭터를 잘 맹글지 그랬어. 에로에로한 것만 열심히 하고 말이여.
아 글면 뱃가죽이 등가죽에 달라 붙어갖고 밤 냄새 참기 힘들다 하면 되지. 뭔 말을 그렇게 어렵게 혀. 아 긍께 애시당초 저 캐릭터를 잘 맹글지 그랬어. 에로에로한 것만 열심히 하고 말이여.,죄송해요.
아 멀리까지 와서 밥 먹은 보람이 있네. 아 근데 너 이 동네 순대국집 간판 새로 한다는 거 어떻게 알았냐?,제가 다니는 절에 신자님이세요.
제가 다니는 절에 신자님이세요.,"이야... 영업한다고 교회, 성당, 절 다 다니는 너도 참 대단하다."
"이야... 영업한다고 교회, 성당, 절 다 다니는 너도 참 대단하다.",아 그러니까 제 덕에 한 건 했으니깐 커피 쏘시면 재치쟁이.
아 그러니까 제 덕에 한 건 했으니깐 커피 쏘시면 재치쟁이.,알았다. 자.
알았다. 자.,다녀오겠습니다.
뭐하냐,암것도 아냐
암것도 아냐,잠깐만 조동혁
잠깐만 조동혁,왜
왜,나 좀 도와주라 얼굴이 안빠져
나 좀 도와주라 얼굴이 안빠져,뭐? 어디봐
