Q,A
"아따, 나 대가리 털나고 뉴스 시간 생방송 중에 사고난 건 처음 보네. 아따, 세상에 별 일이 다 있네.",안녕하세요?
안녕하세요?,어~ 선우 왔나. 얼른 들어와서 밥 무라.
어~ 선우 왔나. 얼른 들어와서 밥 무라.,"어, 언능 와서, 어? 한 그릇 해."
"어, 언능 와서, 어? 한 그릇 해.","아, 아니에요. 저 택이 방에서 애들이랑 라면 먹."
어? 언니!,어? 어디 어디? 오! 여기야! 아 어디 갔었어? 응? 얼마나 기다렸는데! 가자! 야 영애왔다. 가자 가자 집에 가자!
어? 어디 어디? 오! 여기야! 아 어디 갔었어? 응? 얼마나 기다렸는데! 가자! 야 영애왔다. 가자 가자 집에 가자!,공항으로 오란 문자 봤구나? 다행이다.
공항으로 오란 문자 봤구나? 다행이다.,어어어...
어어어...,아 근데 처형 그 옷은 뭐예요?
아 근데 처형 그 옷은 뭐예요?,아이... 그냥 누가 준 거예요.
아이... 그냥 누가 준 거예요.,야 가자 어서 가자.
야 가자 어서 가자.,아이... 먼저들 올라가세요. 저는 마무리하고 따라 갈게요.
아이... 먼저들 올라가세요. 저는 마무리하고 따라 갈게요.,아휴 쫄딱 망해놓고 마무리는 무슨.
아휴 쫄딱 망해놓고 마무리는 무슨.,"엄마, 저쪽으로 가서 얘기하자."
"엄마, 저쪽으로 가서 얘기하자.",왜? 사람들 앞에서 망한 티 내는 건 챙피해? 그래서 제주도에서 망한 티 안 내려고 그딴 티 입고 다니냐? 으이구 아이 러브 제주는 무슨. 
왜? 사람들 앞에서 망한 티 내는 건 챙피해? 그래서 제주도에서 망한 티 안 내려고 그딴 티 입고 다니냐? 으이구 아이 러브 제주는 무슨. ,아 거 사람도... 아 집에 가서 얘기해. 어서 가 어서 가.
아 거 사람도... 아 집에 가서 얘기해. 어서 가 어서 가.,아 그래 엄마 비행기 시간 다 됐어.
덕선아~,어?
어?,성덕선~
성덕선~,우리 선우 문턱 닳겠다.
우리 선우 문턱 닳겠다.,선우 형! 방송사고 났어. 얼른 와 봐!
선우 형! 방송사고 났어. 얼른 와 봐!,"어, 선우야 얼른 들어와서 인자 밥 한 끼 해라. 그리고 저, 덕선이 너는 가 가지고 저, 선우 밥 좀 퍼가... 엄마, 1초 전만 해도 있었는데. 아따, 오늘은 뭣이 확확 지나가뿐다, 다."
"잠깐 졸았죠, 임신을 해서 그런가. 옛날같았으면 거뜬했을텐데","영자씨, 우리 그냥, 먼저 같이 살까? "
"영자씨, 우리 그냥, 먼저 같이 살까? ",네? 식올리기 전에요?
네? 식올리기 전에요?,"어. 영자씨 홀몸도 아닌데, 회사일이다 뭐다 집도 먼데 왔다갔다 피곤하잖아"
"어. 영자씨 홀몸도 아닌데, 회사일이다 뭐다 집도 먼데 왔다갔다 피곤하잖아","그렇긴한데, 아빠가 허락 안하실걸요"
"그렇긴한데, 아빠가 허락 안하실걸요","하긴, 그렇겠지"
"하긴, 그렇겠지","일어나요, 내려가서 할일도 많은데"
뭐 나 줄 거 있다 그러지 않았어?,아 깁스 팔걸이 만들었어요 자 
아 깁스 팔걸이 만들었어요 자 ,오 아 뭐 이런걸 다 매번 고맙네 추리닝에 이거에
오 아 뭐 이런걸 다 매번 고맙네 추리닝에 이거에,얼른 해봐요 내가 걸어줄게요
