big_sent,sent,acc,total,score
기쁨,흥분,18.0,61.0,0.29508196721311475
기쁨,기쁨,45.0,102.0,0.4411764705882353
기쁨,신이 난,41.0,91.0,0.45054945054945056
기쁨,자신하는,50.0,86.0,0.5813953488372093
기쁨,느긋,47.0,78.0,0.6025641025641025
기쁨,신뢰하는,54.0,81.0,0.6666666666666666
기쁨,만족스러운,57.0,85.0,0.6705882352941176
기쁨,편안한,57.0,82.0,0.6951219512195121
기쁨,감사하는,65.0,89.0,0.7303370786516854
기쁨,안도,64.0,86.0,0.7441860465116279
당황,혐오스러운,32.0,67.0,0.47761194029850745
당황,고립된,76.0,152.0,0.5
당황,외로운,41.0,80.0,0.5125
당황,당황,41.0,75.0,0.5466666666666666
당황,열등감,43.0,76.0,0.5657894736842105
당황,남의 시선을 의식하는,59.0,92.0,0.6413043478260869
당황,죄책감의,64.0,96.0,0.6666666666666666
당황,부끄러운,62.0,81.0,0.7654320987654321
당황,한심한,70.0,90.0,0.7777777777777778
분노,툴툴대는,27.0,95.0,0.28421052631578947
분노,방어적인,28.0,73.0,0.3835616438356164
분노,노여워하는,40.0,103.0,0.3883495145631068
분노,분노,34.0,86.0,0.3953488372093023
분노,안달하는,41.0,93.0,0.44086021505376344
분노,악의적인,33.0,70.0,0.4714285714285714
분노,좌절한,47.0,94.0,0.5
분노,짜증내는,54.0,93.0,0.5806451612903226
분노,구역질 나는,55.0,83.0,0.6626506024096386
분노,성가신,61.0,83.0,0.7349397590361446
불안,취약한,21.0,76.0,0.27631578947368424
불안,회의적인,37.0,83.0,0.4457831325301205
불안,걱정스러운,48.0,107.0,0.4485981308411215
불안,초조한,42.0,84.0,0.5
불안,당혹스러운,47.0,87.0,0.5402298850574713
불안,불안,53.0,97.0,0.5463917525773195
불안,스트레스 받는,64.0,108.0,0.5925925925925926
불안,두려운,60.0,94.0,0.6382978723404256
불안,조심스러운,64.0,92.0,0.6956521739130435
불안,혼란스러운,126.0,180.0,0.7
상처,"가난한, 불우한",25.0,68.0,0.36764705882352944
상처,상처,40.0,95.0,0.42105263157894735
상처,버려진,32.0,70.0,0.45714285714285713
상처,괴로워하는,53.0,99.0,0.5353535353535354
상처,배신당한,40.0,73.0,0.547945205479452
상처,희생된,46.0,77.0,0.5974025974025974
상처,충격 받은,64.0,97.0,0.6597938144329897
상처,억울한,57.0,80.0,0.7125
상처,질투하는,58.0,79.0,0.7341772151898734
슬픔,염세적인,26.0,82.0,0.3170731707317073
슬픔,슬픔,30.0,86.0,0.3488372093023256
슬픔,비통한,28.0,71.0,0.39436619718309857
슬픔,낙담한,34.0,85.0,0.4
슬픔,마비된,37.0,75.0,0.49333333333333335
슬픔,환멸을 느끼는,43.0,84.0,0.5119047619047619
슬픔,눈물이 나는,62.0,107.0,0.5794392523364486
슬픔,우울한,54.0,91.0,0.5934065934065934
슬픔,실망한,55.0,90.0,0.6111111111111112
슬픔,후회되는,72.0,90.0,0.8
