video,big_sent,sm_sent,action
KETI_MULTIMODAL_0000000307,"['Happy', 'Rage', 'Happy', 'Sadness']","['Confident', 'Rage', 'Happy', 'Disappointed']",driving car
KETI_MULTIMODAL_0000000298,"['Happy', 'Rage', 'Hurt']","['Confident', 'Annoying', 'Hurt']",texting
KETI_MULTIMODAL_0000000308,"['Happy', 'Rage', 'Rage', 'Rage', 'Rage']","['Confident', 'Rage', 'Rage', 'Rage', 'Rage']",crying
KETI_MULTIMODAL_0000000299,"['Rage', 'Emberrassed', 'Rage', 'Hurt', 'Rage', 'Happy', 'Rage', 'Hurt']","['Rage', 'Guilty', 'Rage', 'Hurt', 'Rage', 'Comfortable', 'Grumbling', 'Hurt']",kissing
KETI_MULTIMODAL_0000000304,"['Happy', 'Rage', 'Rage', 'Rage', 'Rage']","['Happy', 'Rage', 'Annoying', 'Rage', 'Rage']",kissing
KETI_MULTIMODAL_0000000310,"['Rage', 'Rage', 'Happy']","['Rage', 'Rage', 'Confident']",playing monopoly
KETI_MULTIMODAL_0000000303,"['Hurt', 'Sadness', 'Sadness', 'Hurt', 'Emberrassed', 'Rage', 'Happy']","['Hurt', 'Regretful', 'Pessimistic', 'Envy', 'Guilty', 'Rage', 'Confident']",kissing
KETI_MULTIMODAL_0000000305,"['Anxiety', 'Happy', 'Rage', 'Rage', 'Rage', 'Rage', 'Sadness']","['Scared', 'Grateful', 'Rage', 'Grumbling', 'Rage', 'Rage', 'Gloomy']",singing
KETI_MULTIMODAL_0000000309,"['Happy', 'Rage', 'Happy', 'Rage', 'Happy']","['Comfortable', 'Annoying', 'Confident', 'Rage', 'Happy']",barbequing
KETI_MULTIMODAL_0000000302,"['Rage', 'Emberrassed', 'Happy', 'Rage', 'Happy']","['Rage', 'Guilty', 'Happy', 'Rage', 'Happy']",cleaning shoes
KETI_MULTIMODAL_0000000322,"['Sadness', 'Happy', 'Happy']","['Disappointed', 'Happy', 'Happy']",tasting food
KETI_MULTIMODAL_0000000324,"['Happy', 'Rage', 'Rage']","['Happy', 'Rage', 'Rage']",setting table
