Q,A
저기 덕선아 아빠도 덕선이 한테 뭐하나 줄것이 있는디 ,뭐?
뭐?,있어봐
아이고 어떻게 이런 우연이? 이게 동시에 다 같이 나오기는 정말 1년에 몇번 없는 일인데. 이제 최사범님만 나오시면.,학교가냐?
학교가냐?,이게 같은동네에 한 20년을 살다보면은 이런 텔레파시가.
이게 같은동네에 한 20년을 살다보면은 이런 텔레파시가.,덕선아 안녕?
덕선아 안녕?,수연이야!
수연이야!,어 알았어.
어 알았어.,니들 저녁에 알지? 또치경양식. 안나오기만해 한놈이라도. 다같이 죽는거야 진짜.
니들 저녁에 알지? 또치경양식. 안나오기만해 한놈이라도. 다같이 죽는거야 진짜.,너 올수있어? 오늘도 대국있지않아?
너 올수있어? 오늘도 대국있지않아?,일찍 끝나면 갈게.
일찍 끝나면 갈게.,길 잘찾아와라. 또 엉뚱한데서 헤매지말고.
길 잘찾아와라. 또 엉뚱한데서 헤매지말고.,알았어.
알았어.,야 늦었어.
야 늦었어.,오우 씨!
어이 둘 다 욕같네요,그러게요
아 전 둘이 너무 비슷해서. 고맙습니다,어
어,아 전무님. 그럼 아닌데?는 중국어로 어떻게 읽고 써요? 
아 전무님. 그럼 아닌데?는 중국어로 어떻게 읽고 써요? ,아 아닌데?
아 나 미팅있는데 깜박했네 미팅갔다올게,다녀오세요
아니 근데 전무님은 약속 있다고 하시더니 어떻게 오셨어요?,내일로 미뤄졌어.
내일로 미뤄졌어.,으음! 닭다리 내꺼여. 가슴살이나 먹드라고.
수민씨 그건 뭐야? 순살이야?,아닌데? 똥집인데요? 저는 치맥보다 똥맥을 좋아해서요.
아닌데? 똥집인데요? 저는 치맥보다 똥맥을 좋아해서요.,또 또 똥맥?
또 또 똥맥?,아이~ 아이 지금까지 끈적거려 죽겠네.
아이~ 아이 지금까지 끈적거려 죽겠네.,아까 햄버거 먹다 콜라 쏟은거? 가만보면 윤과장 참 조심성 없어. 잘 쏟고 잘 묻히고 은근히 막손이라니까?
아까 햄버거 먹다 콜라 쏟은거? 가만보면 윤과장 참 조심성 없어. 잘 쏟고 잘 묻히고 은근히 막손이라니까?,예 저는 따드리려고 밖에 한게 없는데 죄송하네요. 화장실 좀 다녀올게요.
예 저는 따드리려고 밖에 한게 없는데 죄송하네요. 화장실 좀 다녀올게요.,나도 담배나 한대 펴야겠다 아 내 라이터 어디갔지?
전무님 라이타 안가져가셨어요.,어 고마워! 안그래도 찾았는데.
어 고마워! 안그래도 찾았는데.,아 예 전무님 저도 담배하나 주세요.
아 예 전무님 저도 담배하나 주세요.,응
응,예. 악 뜨거워!
예. 악 뜨거워!,오우 괜찮아?
윤과장 괜찮아? 아 이게 왜 불이 제일 세게 돼있었냐?,아 나 오늘 윤과장때문에 중한 사실을 하나 알았구만.
아 나 오늘 윤과장때문에 중한 사실을 하나 알았구만.,뭘요? 라이타로도 눈썹 탈 수 있는거요? 
뭘요? 라이타로도 눈썹 탈 수 있는거요? ,음 아니여 사람 얼굴에서 눈썹이 얼마나 중헌지 알았다고. 눈썹 반토막없다고 사람이 이렇게 웃겨불고말이여.
음 아니여 사람 얼굴에서 눈썹이 얼마나 중헌지 알았다고. 눈썹 반토막없다고 사람이 이렇게 웃겨불고말이여.,모나리잔줄
모나리잔줄,모나리자가 아니라 윤나리자지 윤나리자.
모나리자가 아니라 윤나리자지 윤나리자.,윤나리자 하하하 윤과장님 아니였으면 전무님이 준나리자 될 뻔 했어요.
윤나리자 하하하 윤과장님 아니였으면 전무님이 준나리자 될 뻔 했어요.,준나리자 하하하하 아오 소름끼쳐 윤과장 고마워.
준나리자 하하하하 아오 소름끼쳐 윤과장 고마워.,윤과장님 너무 걱정하지 마세요. 눈썹은 곧 자라날테니까. 일단 이걸로 제가 눈썹 좀 그려드릴까요?
윤과장님 너무 걱정하지 마세요. 눈썹은 곧 자라날테니까. 일단 이걸로 제가 눈썹 좀 그려드릴까요?,아 됐어 누구누구누구 놀려?
아 됐어 누구누구누구 놀려?,아이 라부장님 사람 걱정하는척하면서 놀리는거 최고.
아이 라부장님 사람 걱정하는척하면서 놀리는거 최고.,놀리는거 아닌데?
놀리는거 아닌데?,라부장 눈썹문신 무료이용쿠폰은 없어? 있으면 나도 줘.
"아, 고맙다. 안 그래도 계속 찾았는데. 어딨었냐?",가게 주방에. 아까 미역국 끓여주고 갔다며.
가게 주방에. 아까 미역국 끓여주고 갔다며.,"아, 그때 떨어진거구나. 야 미역국 끓여준거는 별 거 아냐. 수환이가 하도 버벅대서 그냥 선물대신에."
"아, 그때 떨어진거구나. 야 미역국 끓여준거는 별 거 아냐. 수환이가 하도 버벅대서 그냥 선물대신에.",알았다. 근데 어디 아픈건데?
알았다. 근데 어디 아픈건데?,별 거 아냐.
별 거 아냐.,별 거 아닌거 아니구만. 왜? 발아프냐? 다쳤어?
별 거 아닌거 아니구만. 왜? 발아프냐? 다쳤어?,"아냐, 그냥 쥐가 나서 그래."
"아냐, 그냥 쥐가 나서 그래.",쥐났어? 그럼 풀어야지!
"그래, 통풍이다, 통풍! 그래서 너무 아퍼서 그런거야.",통풍?
통풍?,"그래, 그 뚱뚱한 중년남성들이 잘 걸리는 그 병."
"그래, 그 뚱뚱한 중년남성들이 잘 걸리는 그 병.",그래 알어. 옛날에 우리 코치님도 걸리셔서. 그거 엄청 아프다며?
그래 알어. 옛날에 우리 코치님도 걸리셔서. 그거 엄청 아프다며?,그래! 드럽게 아파죽겠다. 아 쪽팔려서 얘기 안하려고 했구만. 가!
그래! 드럽게 아파죽겠다. 아 쪽팔려서 얘기 안하려고 했구만. 가!,"아, 뭐야, 놔!"
"아, 뭐야, 놔!",딴 뜻 아냐. 아파죽겠다며.
"야, 야. 갈게.",얼른 들어가서 약 먹어라.
얼른 들어가서 약 먹어라.,"알았어. 야, 너 이 얘기 누구한테 하면 죽는다."
"알았어. 야, 너 이 얘기 누구한테 하면 죽는다.",알았어.
알았어.,뭘 웃어?
뭘 웃어?,"아니, 그게 아니라. 솔직히 좀 좋아서 그래."
"아니, 그게 아니라. 솔직히 좀 좋아서 그래.",뭐?
뭐?,너 아픈거 나만 아는 거잖아. 그게 좋다고. 간다.
너 아까부터 무슨 생각을 그렇게 해. 뭐 놓고왔어? 아 왜 이렇게 심각해. 뭐 사고쳤어?,야 개성팔.  
야 개성팔.  ,뭐.
뭐.,"너 내 마니또지? 이상하다, 내 마니또 택인데."
"너 내 마니또지? 이상하다, 내 마니또 택인데.",아 내가 왜 니 마니똔데.
아 내가 왜 니 마니똔데.,야 니가 내 마니또니까 왔지 니 성질에 강남까지 왔겠냐? 미쳤어? 나도 그정도 머린 있어.
야 니가 내 마니또니까 왔지 니 성질에 강남까지 왔겠냐? 미쳤어? 나도 그정도 머린 있어.,나 너 마니또 아니야.
나 너 마니또 아니야.,그만 우기시지.
그만 우기시지.,내 마니또 택이야. 집에가서 쪽지 보여줘?
내 마니또 택이야. 집에가서 쪽지 보여줘?,그럼 너 왜 왔어?
그럼 너 왜 왔어?,하.
하.,왜.
왜.,으으.
으으.,아 왜이래 진짜 미쳤어?
아 왜이래 진짜 미쳤어?,요 머리로 잘 생각해봐. 내가 왜 왔는지. 알았지.
오빠 매번 고마워요. 이렇게 도와주구. ,에이 별것도 아닌데 뭐. 어? 아직 청소 다 안끝났는데?
야 택이 아이큐 얼마라고?,139.
139.,99 아니냐?
99 아니냐?,그 덕선이 아이큐.
왜 왜 왜그래?,오빠 왜 이렇게 용기가 없어요? 난 오빠가 나한테 고백할 줄 알았는데.
오빠 왜 이렇게 용기가 없어요? 난 오빠가 나한테 고백할 줄 알았는데.,어?
덕선아 나 잘거야 ,알았어
알았어,빨랑가 안녕
나두 전부터 좋아했단 말이에요.,지..진짜? 
아 누나 맥주 없어요?,네?
"아 근데, 5천원짜리 해물순두부 식탁이랑 반찬부터 너무 차이난다. 뭐부터 먹을까. 어머, 왜 영애씨만 따로 하얀 순두부줘요 조총무?",애가 달랬어요. 짜고 맵고 자극적인거 먹으면 안된다고. 맞지?
애가 달랬어요. 짜고 맵고 자극적인거 먹으면 안된다고. 맞지?,예. 제가 달라고 그랬네요. 왜이렇게 싱거워
예. 제가 달라고 그랬네요. 왜이렇게 싱거워,우리 술 안시켰는데?
우리 술 안시켰는데?,"간단하게 반주로 한잔씩들 하자고, 내가 시켰어"
"간단하게 반주로 한잔씩들 하자고, 내가 시켰어","반주 좋죠잉, 한잔 따라서 쫙 돌리드라고"
"반주 좋죠잉, 한잔 따라서 쫙 돌리드라고","다들 그동안 고생들했어요, 내년에도 잘 부탁드립니다"
"다들 그동안 고생들했어요, 내년에도 잘 부탁드립니다","낙원사가 잘 부탁드리겠습니다, 회장님"
"낙원사가 잘 부탁드리겠습니다, 회장님","자 다들 한잔씩 하자고, 건배"
"그래 한잔쯤이야, 야 뭐야?",너 술 끊는다고 했잖아. 맞지? 이영애
너 술 끊는다고 했잖아. 맞지? 이영애,네 맞아요 저 술 끊었어요
네 맞아요 저 술 끊었어요,뭐? 목숨을 끊으면 끊었지 술은 못끊겠다던 영애씨가 어쩌다가 술을 끊은거야?
뭐? 목숨을 끊으면 끊었지 술은 못끊겠다던 영애씨가 어쩌다가 술을 끊은거야?,살이 좀 쪄서
살이 좀 쪄서,"이사장 살찌는거야 하루 이틀이 아닌디, 왜 갑자기 살을 뺀다고 난리여? 누구 이쁘게 보일 사람이라도 생긴겨?"
